"","School Name","URL","State","index"
"1785","Cheyney University of Pennsylvania","http://cheyney.edu","PA",1785
"1786","El Paso Community College","http://epcc.edu","TX",1786
"1787","The Southern Baptist Theological Seminary","http://sbts.edu","KY",1787
"1788","Louisiana State University System","http://lsusystem.edu","LA",1788
"1789","Idaho State University","http://isu.edu","ID",1789
"1790","California State University San Bernardino","http://csusb.edu","CA",1790
"1791","McLennan Community College","http://mclennan.edu","TX",1791
"1792","Christian Brothers University","http://cbu.edu","TN",1792
"1793","Lebanon Valley College","http://lvc.edu","PA",1793
"1794","Northwest College","http://northwestcollege.edu","WY",1794
"1795","Delhi State University of New York","http://delhi.edu","NY",1795
"1796","The Art Institute","http://artinstitutes.edu","CA",1796
"1797","Southeastern Oklahoma State University","http://se.edu","OK",1797
"1798","Nova Southeastern University","http://nova.edu","FL",1798
"1799","Rio Salado College","http://riosalado.edu","AZ",1799
"1800","Central Ohio Technical College","http://cotc.edu","OH",1800
"1801","Northeastern University","http://northeastern.edu","MA",1801
"1802","New College of Florida","http://ncf.edu","FL",1802
"1803","Chesapeake College","http://chesapeake.edu","MD",1803
"1804","Mount Aloysius College","http://mtaloy.edu","PA",1804
"1805","Foothill-De Anza Community College District","http://fhda.edu","CA",1805
"1806","The Institute of Buddhist Studies","http://shin-ibs.edu","CA",1806
"1807","Roanoke College","http://roanoke.edu","VA",1807
"1808","Saint Louis University","http://slu.edu","MO",1808
"1809","Valparaiso University","http://valpo.edu","IN",1809
"1810","Western State Colorado University","http://western.edu","CO",1810
"1811","Morehouse College","http://morehouse.edu","GA",1811
"1812","Trine University","http://trine.edu","IN",1812
"1813","Rock Valley College","http://rockvalleycollege.edu","IL",1813
"1814","Marine Biological Laboratory","http://mbl.edu","MA",1814
"1815","Scripps College","http://scrippscollege.edu","CA",1815
"1816","Sullivan University","http://sullivan.edu","KY",1816
"1817","College of the Sequoias","http://cos.edu","CA",1817
"1818","College of the Desert","http://collegeofthedesert.edu","CA",1818
"1819","Centura College","http://centura.edu","SC",1819
"1820","Chestnut Hill College","http://chc.edu","PA",1820
"1821","Hartwick College","http://hartwick.edu","NY",1821
"1822","The Institute of Beauty and Wellness","http://ibw.edu","WI",1822
"1823","Anderson University","http://andersonuniversity.edu","SC",1823
"1824","University of La Verne","http://laverne.edu","CA",1824
"1825","Dickinson College","http://dickinson.edu","PA",1825
"1826","Cedar Crest College","http://cedarcrest.edu","PA",1826
"1827","Moraine Valley Community College","http://morainevalley.edu","IL",1827
"1828","College of Saint Benedict, Saint John’s University","http://csbsju.edu","MN",1828
"1829","Centralia College","http://centralia.edu","WA",1829
"1830","Blue Mountain Community College","http://bluecc.edu","OR",1830
"1831","Hesston College","http://hesston.edu","KS",1831
"1832","Spokane Falls Community College","http://spokanefalls.edu","WA",1832
"1833","Waldorf College","http://waldorf.edu","IA",1833
"1834","Lewis University","http://lewisu.edu","IL",1834
"1835","Odessa College","http://odessa.edu","TX",1835
"1836","Panola College","http://panola.edu","TX",1836
"1837","Kirkwood Community College","http://kirkwood.edu","IA",1837
"1838","Oklahoma City Community College","http://occc.edu","OK",1838
"1839","Erie Community College State University of New York","http://ecc.edu","NY",1839
"1840","University of Denver","http://du.edu","CO",1840
"1841","The College of Saint Rose","http://strose.edu","NY",1841
"1842","Clinton Community College","http://clinton.edu","NY",1842
"1843","Harvey Mudd College","http://hmc.edu","CA",1843
"1844","Itawamba Community College","http://iccms.edu","MS",1844
"1845","Pennsylvania College of Technology","http://pct.edu","PA",1845
"1846","Savannah State University","http://savannahstate.edu","GA",1846
"1847","Eastern Connecticut State University","http://easternct.edu","CT",1847
"1848","Western Illinois University","http://wiu.edu","IL",1848
"1849","Lenoir Community College","http://lenoircc.edu","NC",1849
"1850","Butler Community College","http://butlercc.edu","KS",1850
"1851","Northern Virginia Community College","http://nvcc.edu","VA",1851
"1852","Anaheim University","http://anaheim.edu","CA",1852
"1853","University of South Carolina","http://sc.edu","SC",1853
"1854","University of California Santa Cruz","http://ucsc.edu","CA",1854
"1855","State University of New York at Oswego","http://oswego.edu","NY",1855
"1856","Pepperdine University","http://pepperdine.edu","CA",1856
"1857","Eastern Iowa Community Colleges","http://eicc.edu","IA",1857
"1858","The Juilliard School","http://juilliard.edu","NY",1858
"1859","Northwestern University","http://northwestern.edu","IL",1859
"1860","New Jersey Institute of Technology","http://njit.edu","NJ",1860
"1861","Virgina Highlands Community College","http://vhcc.edu","VA",1861
"1862","Aurora University","http://aurora.edu","IL",1862
"1863","University of North Carolina Asheville","http://unca.edu","NC",1863
"1864","Purdue University North Central","http://pnc.edu","IN",1864
"1865","The  American College of Financial Services","http://theamericancollege.edu","PA",1865
"1866","Alvernia University","http://alvernia.edu","PA",1866
"1867","Monroe Community College","http://monroecc.edu","NY",1867
"1868","Southern California University of Health Sciences","http://scuhs.edu","CA",1868
"1869","California Baptist University","http://calbaptist.edu","CA",1869
"1870","University of Virginia","http://virginia.edu","VA",1870
"1871","Shasta College","http://shastacollege.edu","CA",1871
"1872","Community College of Philadelphia","http://ccp.edu","PA",1872
"1873","Central Methodist University","http://centralmethodist.edu","MO",1873
"1874","Roger Williams University","http://rwu.edu","RI",1874
"1875","University of Texas at San Antonio","http://utsa.edu","TX",1875
"1876","Skagit Valley College","http://skagit.edu","WA",1876
"1877","La Sierra University","http://lasierra.edu","CA",1877
"1878","Walla Walla University","http://wallawalla.edu","WA",1878
"1879","Delaware State University","http://desu.edu","DE",1879
"1880","Globe Institute of Technology","http://globe.edu","NY",1880
"1881","Whittier College","http://whittier.edu","CA",1881
"1882","Darton State College","http://darton.edu","GA",1882
"1883","Bowie State University","http://bowiestate.edu","MD",1883
"1884","New England Law – Boston","http://nesl.edu","MA",1884
"1885","Atlanta Metropolitan State College","http://atlm.edu","GA",1885
"1886","McPherson College","http://mcpherson.edu","KS",1886
"1887","North Arkansas College","http://northark.edu","AR",1887
"1888","The Institute for the Psychological Sciences","http://ipsciences.edu","VA",1888
"1889","Glendale Community College","http://glendale.edu","CA",1889
"1890","College of San Mateo","http://collegeofsanmateo.edu","CA",1890
"1891","Regent University","http://regent.edu","VA",1891
"1892","John Brown University","http://jbu.edu","AR",1892
